order_id,item_price,quantity,item_cat,item_name,created_at,delivery_add1,delivery_add2,delivery_city,delivery_zip,delivery
ORD_00001,14.00,8,Pizza,"Pizza Margherita Large",11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
ORD_00001,6.00,7,Side,"Garlic Bread",11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
ORD_00001,18.00,3,Pizza,"Pizza Parmigiana Large",11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
ORD_00001,18.00,1,Pizza,"Pizza Parmigiana Large",11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
ORD_00001,18.00,6,Pizza,"Pizza Napolitana Large",11:44:56,"9 Utah Court","Apt 238",Queens,0007Q,1
ORD_00002,6.00,4,Dessert,"Strawberry Ice Cream",12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
ORD_00002,6.00,4,Beverage,"Coca Cola 1.5l",12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
ORD_00002,16.00,2,Pizza,"Pizza Napolitana Regular",12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
ORD_00002,3.00,6,Beverage,"Diet Coke 33cl",12:43:00,"2368 Menomonie Point","Room 910",Brooklyn,0005B,1
ORD_00003,6.00,6,Beverage,"7 Up 1.5l",12:03:27,"1 Lighthouse Bay Plaza",,Bronx,0004B,0
ORD_00003,4.00,6,Beverage,"Sparkling Water 1.5l",12:03:27,"1 Lighthouse Bay Plaza",,Bronx,0004B,0
ORD_00003,19.00,6,Pizza,"Pizza Diavola Large",12:03:27,"1 Lighthouse Bay Plaza",,Bronx,0004B,0
ORD_00004,6.00,6,Dessert,"Vanilla Ice Cream",20:33:41,"99 Continental Pass",,Bronx,0004B,1
ORD_00004,3.00,1,Beverage,"Coca Cola 33cl",20:33:41,"99 Continental Pass",,Bronx,0004B,1
ORD_00004,6.00,5,Beverage,"Coca Cola 1.5l",20:33:41,"99 Continental Pass",,Bronx,0004B,1
